evict times: 100, mal rules: 77, norm rules: 23
evict times: 120, mal rules: 87, norm rules: 33
evict times: 140, mal rules: 106, norm rules: 34
evict times: 160, mal rules: 124, norm rules: 36
evict times: 180, mal rules: 141, norm rules: 39
evict times: 200, mal rules: 160, norm rules: 40
evict times: 220, mal rules: 177, norm rules: 43
evict times: 240, mal rules: 190, norm rules: 50
evict times: 260, mal rules: 205, norm rules: 55
evict times: 280, mal rules: 221, norm rules: 59
evict times: 300, mal rules: 237, norm rules: 63
evict times: 320, mal rules: 251, norm rules: 69
evict times: 340, mal rules: 266, norm rules: 74
evict times: 360, mal rules: 282, norm rules: 78
evict times: 380, mal rules: 299, norm rules: 81
evict times: 400, mal rules: 312, norm rules: 88
evict times: 420, mal rules: 329, norm rules: 91
evict times: 440, mal rules: 347, norm rules: 93
evict times: 460, mal rules: 365, norm rules: 95
evict times: 480, mal rules: 382, norm rules: 98
evict times: 500, mal rules: 400, norm rules: 100
evict times: 520, mal rules: 419, norm rules: 101
evict times: 540, mal rules: 432, norm rules: 108
evict times: 560, mal rules: 447, norm rules: 113
evict times: 580, mal rules: 463, norm rules: 117
evict times: 600, mal rules: 480, norm rules: 120
evict times: 620, mal rules: 494, norm rules: 126
evict times: 640, mal rules: 510, norm rules: 130
evict times: 660, mal rules: 525, norm rules: 135
evict times: 680, mal rules: 541, norm rules: 139
evict times: 700, mal rules: 554, norm rules: 146
evict times: 720, mal rules: 568, norm rules: 152
evict times: 740, mal rules: 585, norm rules: 155
evict times: 760, mal rules: 601, norm rules: 159
evict times: 780, mal rules: 619, norm rules: 161
evict times: 800, mal rules: 636, norm rules: 164
evict times: 820, mal rules: 655, norm rules: 165
evict times: 840, mal rules: 674, norm rules: 166
evict times: 860, mal rules: 688, norm rules: 172
evict times: 880, mal rules: 702, norm rules: 178
evict times: 900, mal rules: 718, norm rules: 182
evict times: 920, mal rules: 733, norm rules: 187
evict times: 940, mal rules: 748, norm rules: 192
evict times: 960, mal rules: 766, norm rules: 194
evict times: 980, mal rules: 783, norm rules: 197
evict times: 1000, mal rules: 800, norm rules: 200
