evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 20, norm rules: 100
evict times: 140, mal rules: 40, norm rules: 100
evict times: 160, mal rules: 60, norm rules: 100
evict times: 180, mal rules: 80, norm rules: 100
evict times: 200, mal rules: 99, norm rules: 101
evict times: 220, mal rules: 108, norm rules: 112
evict times: 240, mal rules: 110, norm rules: 130
evict times: 260, mal rules: 110, norm rules: 150
evict times: 280, mal rules: 110, norm rules: 170
evict times: 300, mal rules: 110, norm rules: 190
evict times: 320, mal rules: 122, norm rules: 198
evict times: 340, mal rules: 140, norm rules: 200
evict times: 360, mal rules: 160, norm rules: 200
evict times: 380, mal rules: 180, norm rules: 200
evict times: 400, mal rules: 199, norm rules: 201
evict times: 420, mal rules: 210, norm rules: 210
evict times: 440, mal rules: 220, norm rules: 220
evict times: 460, mal rules: 220, norm rules: 240
evict times: 480, mal rules: 220, norm rules: 260
evict times: 500, mal rules: 220, norm rules: 280
evict times: 520, mal rules: 230, norm rules: 290
evict times: 540, mal rules: 244, norm rules: 296
evict times: 560, mal rules: 264, norm rules: 296
evict times: 580, mal rules: 282, norm rules: 298
evict times: 600, mal rules: 299, norm rules: 301
evict times: 620, mal rules: 314, norm rules: 306
evict times: 640, mal rules: 327, norm rules: 313
evict times: 660, mal rules: 330, norm rules: 330
evict times: 680, mal rules: 330, norm rules: 350
evict times: 700, mal rules: 330, norm rules: 370
evict times: 720, mal rules: 337, norm rules: 383
evict times: 740, mal rules: 350, norm rules: 390
evict times: 760, mal rules: 366, norm rules: 394
evict times: 780, mal rules: 385, norm rules: 395
evict times: 800, mal rules: 405, norm rules: 395
evict times: 820, mal rules: 419, norm rules: 401
evict times: 840, mal rules: 431, norm rules: 409
evict times: 860, mal rules: 437, norm rules: 423
evict times: 880, mal rules: 439, norm rules: 441
evict times: 900, mal rules: 440, norm rules: 460
evict times: 920, mal rules: 450, norm rules: 470
evict times: 940, mal rules: 458, norm rules: 482
evict times: 960, mal rules: 473, norm rules: 487
evict times: 980, mal rules: 491, norm rules: 489
evict times: 1000, mal rules: 510, norm rules: 490
