evict times: 100, mal rules: 50, norm rules: 50
evict times: 120, mal rules: 61, norm rules: 59
evict times: 140, mal rules: 72, norm rules: 68
evict times: 160, mal rules: 81, norm rules: 79
evict times: 180, mal rules: 92, norm rules: 88
evict times: 200, mal rules: 103, norm rules: 97
evict times: 220, mal rules: 114, norm rules: 106
evict times: 240, mal rules: 122, norm rules: 118
evict times: 260, mal rules: 132, norm rules: 128
evict times: 280, mal rules: 147, norm rules: 133
evict times: 300, mal rules: 153, norm rules: 147
evict times: 320, mal rules: 161, norm rules: 159
evict times: 340, mal rules: 172, norm rules: 168
evict times: 360, mal rules: 184, norm rules: 176
evict times: 380, mal rules: 195, norm rules: 185
evict times: 400, mal rules: 206, norm rules: 194
evict times: 420, mal rules: 218, norm rules: 202
evict times: 440, mal rules: 226, norm rules: 214
evict times: 460, mal rules: 240, norm rules: 220
evict times: 480, mal rules: 252, norm rules: 228
evict times: 500, mal rules: 263, norm rules: 237
evict times: 520, mal rules: 273, norm rules: 247
evict times: 540, mal rules: 284, norm rules: 256
evict times: 560, mal rules: 293, norm rules: 267
evict times: 580, mal rules: 304, norm rules: 276
evict times: 600, mal rules: 315, norm rules: 285
evict times: 620, mal rules: 323, norm rules: 297
evict times: 640, mal rules: 333, norm rules: 307
evict times: 660, mal rules: 345, norm rules: 315
evict times: 680, mal rules: 355, norm rules: 325
evict times: 700, mal rules: 364, norm rules: 336
evict times: 720, mal rules: 374, norm rules: 346
evict times: 740, mal rules: 386, norm rules: 354
evict times: 760, mal rules: 398, norm rules: 362
evict times: 780, mal rules: 408, norm rules: 372
evict times: 800, mal rules: 420, norm rules: 380
evict times: 820, mal rules: 430, norm rules: 390
evict times: 840, mal rules: 443, norm rules: 397
evict times: 860, mal rules: 454, norm rules: 406
evict times: 880, mal rules: 463, norm rules: 417
evict times: 900, mal rules: 472, norm rules: 428
evict times: 920, mal rules: 483, norm rules: 437
evict times: 940, mal rules: 493, norm rules: 447
evict times: 960, mal rules: 504, norm rules: 456
evict times: 980, mal rules: 518, norm rules: 462
evict times: 1000, mal rules: 530, norm rules: 470
