evict times: 100, mal rules: 91, norm rules: 9
evict times: 120, mal rules: 111, norm rules: 9
evict times: 140, mal rules: 128, norm rules: 12
evict times: 160, mal rules: 146, norm rules: 14
evict times: 180, mal rules: 165, norm rules: 15
evict times: 200, mal rules: 182, norm rules: 18
evict times: 220, mal rules: 201, norm rules: 19
evict times: 240, mal rules: 218, norm rules: 22
evict times: 260, mal rules: 237, norm rules: 23
evict times: 280, mal rules: 256, norm rules: 24
evict times: 300, mal rules: 273, norm rules: 27
evict times: 320, mal rules: 291, norm rules: 29
evict times: 340, mal rules: 309, norm rules: 31
evict times: 360, mal rules: 328, norm rules: 32
evict times: 380, mal rules: 347, norm rules: 33
evict times: 400, mal rules: 366, norm rules: 34
evict times: 420, mal rules: 384, norm rules: 36
evict times: 440, mal rules: 404, norm rules: 36
evict times: 460, mal rules: 421, norm rules: 39
evict times: 480, mal rules: 439, norm rules: 41
evict times: 500, mal rules: 458, norm rules: 42
evict times: 520, mal rules: 478, norm rules: 42
evict times: 540, mal rules: 497, norm rules: 43
evict times: 560, mal rules: 515, norm rules: 45
evict times: 580, mal rules: 534, norm rules: 46
evict times: 600, mal rules: 552, norm rules: 48
evict times: 620, mal rules: 570, norm rules: 50
evict times: 640, mal rules: 588, norm rules: 52
evict times: 660, mal rules: 606, norm rules: 54
evict times: 680, mal rules: 624, norm rules: 56
evict times: 700, mal rules: 640, norm rules: 60
evict times: 720, mal rules: 660, norm rules: 60
evict times: 740, mal rules: 676, norm rules: 64
evict times: 760, mal rules: 695, norm rules: 65
evict times: 780, mal rules: 712, norm rules: 68
evict times: 800, mal rules: 731, norm rules: 69
evict times: 820, mal rules: 749, norm rules: 71
evict times: 840, mal rules: 766, norm rules: 74
evict times: 860, mal rules: 784, norm rules: 76
evict times: 880, mal rules: 801, norm rules: 79
evict times: 900, mal rules: 820, norm rules: 80
evict times: 920, mal rules: 840, norm rules: 80
evict times: 940, mal rules: 857, norm rules: 83
evict times: 960, mal rules: 876, norm rules: 84
evict times: 980, mal rules: 892, norm rules: 88
evict times: 1000, mal rules: 911, norm rules: 89
