evict times: 100, mal rules: 71, norm rules: 29
evict times: 120, mal rules: 85, norm rules: 35
evict times: 140, mal rules: 99, norm rules: 41
evict times: 160, mal rules: 117, norm rules: 43
evict times: 180, mal rules: 132, norm rules: 48
evict times: 200, mal rules: 147, norm rules: 53
evict times: 220, mal rules: 162, norm rules: 58
evict times: 240, mal rules: 175, norm rules: 65
evict times: 260, mal rules: 191, norm rules: 69
evict times: 280, mal rules: 209, norm rules: 71
evict times: 300, mal rules: 223, norm rules: 77
evict times: 320, mal rules: 239, norm rules: 81
evict times: 340, mal rules: 257, norm rules: 83
evict times: 360, mal rules: 271, norm rules: 89
evict times: 380, mal rules: 289, norm rules: 91
evict times: 400, mal rules: 304, norm rules: 96
evict times: 420, mal rules: 316, norm rules: 104
evict times: 440, mal rules: 332, norm rules: 108
evict times: 460, mal rules: 351, norm rules: 109
evict times: 480, mal rules: 360, norm rules: 120
evict times: 500, mal rules: 378, norm rules: 122
evict times: 520, mal rules: 394, norm rules: 126
evict times: 540, mal rules: 407, norm rules: 133
evict times: 560, mal rules: 426, norm rules: 134
evict times: 580, mal rules: 444, norm rules: 136
evict times: 600, mal rules: 459, norm rules: 141
evict times: 620, mal rules: 476, norm rules: 144
evict times: 640, mal rules: 489, norm rules: 151
evict times: 660, mal rules: 504, norm rules: 156
evict times: 680, mal rules: 520, norm rules: 160
evict times: 700, mal rules: 537, norm rules: 163
evict times: 720, mal rules: 552, norm rules: 168
evict times: 740, mal rules: 571, norm rules: 169
evict times: 760, mal rules: 585, norm rules: 175
evict times: 780, mal rules: 602, norm rules: 178
evict times: 800, mal rules: 615, norm rules: 185
evict times: 820, mal rules: 630, norm rules: 190
evict times: 840, mal rules: 647, norm rules: 193
evict times: 860, mal rules: 662, norm rules: 198
evict times: 880, mal rules: 677, norm rules: 203
evict times: 900, mal rules: 693, norm rules: 207
evict times: 920, mal rules: 707, norm rules: 213
evict times: 940, mal rules: 724, norm rules: 216
evict times: 960, mal rules: 740, norm rules: 220
evict times: 980, mal rules: 757, norm rules: 223
evict times: 1000, mal rules: 772, norm rules: 228
