evict times: 100, mal rules: 3, norm rules: 97
evict times: 120, mal rules: 20, norm rules: 100
evict times: 140, mal rules: 40, norm rules: 100
evict times: 160, mal rules: 60, norm rules: 100
evict times: 180, mal rules: 80, norm rules: 100
evict times: 200, mal rules: 98, norm rules: 102
evict times: 220, mal rules: 101, norm rules: 119
evict times: 240, mal rules: 101, norm rules: 139
evict times: 260, mal rules: 101, norm rules: 159
evict times: 280, mal rules: 101, norm rules: 179
evict times: 300, mal rules: 103, norm rules: 197
evict times: 320, mal rules: 115, norm rules: 205
evict times: 340, mal rules: 131, norm rules: 209
evict times: 360, mal rules: 151, norm rules: 209
evict times: 380, mal rules: 171, norm rules: 209
evict times: 400, mal rules: 188, norm rules: 212
evict times: 420, mal rules: 194, norm rules: 226
evict times: 440, mal rules: 197, norm rules: 243
evict times: 460, mal rules: 198, norm rules: 262
evict times: 480, mal rules: 201, norm rules: 279
evict times: 500, mal rules: 202, norm rules: 298
evict times: 520, mal rules: 212, norm rules: 308
evict times: 540, mal rules: 227, norm rules: 313
evict times: 560, mal rules: 243, norm rules: 317
evict times: 580, mal rules: 263, norm rules: 317
evict times: 600, mal rules: 280, norm rules: 320
evict times: 620, mal rules: 292, norm rules: 328
evict times: 640, mal rules: 298, norm rules: 342
evict times: 660, mal rules: 298, norm rules: 362
evict times: 680, mal rules: 299, norm rules: 381
evict times: 700, mal rules: 304, norm rules: 396
evict times: 720, mal rules: 312, norm rules: 408
evict times: 740, mal rules: 323, norm rules: 417
evict times: 760, mal rules: 339, norm rules: 421
evict times: 780, mal rules: 356, norm rules: 424
evict times: 800, mal rules: 374, norm rules: 426
evict times: 820, mal rules: 384, norm rules: 436
evict times: 840, mal rules: 393, norm rules: 447
evict times: 860, mal rules: 396, norm rules: 464
evict times: 880, mal rules: 400, norm rules: 480
evict times: 900, mal rules: 405, norm rules: 495
evict times: 920, mal rules: 413, norm rules: 507
evict times: 940, mal rules: 421, norm rules: 519
evict times: 960, mal rules: 434, norm rules: 526
evict times: 980, mal rules: 448, norm rules: 532
evict times: 1000, mal rules: 466, norm rules: 534
