evict times: 100, mal rules: 51, norm rules: 49
evict times: 120, mal rules: 57, norm rules: 63
evict times: 140, mal rules: 65, norm rules: 75
evict times: 160, mal rules: 74, norm rules: 86
evict times: 180, mal rules: 86, norm rules: 94
evict times: 200, mal rules: 96, norm rules: 104
evict times: 220, mal rules: 107, norm rules: 113
evict times: 240, mal rules: 116, norm rules: 124
evict times: 260, mal rules: 124, norm rules: 136
evict times: 280, mal rules: 131, norm rules: 149
evict times: 300, mal rules: 136, norm rules: 164
evict times: 320, mal rules: 144, norm rules: 176
evict times: 340, mal rules: 155, norm rules: 185
evict times: 360, mal rules: 166, norm rules: 194
evict times: 380, mal rules: 180, norm rules: 200
evict times: 400, mal rules: 193, norm rules: 207
evict times: 420, mal rules: 200, norm rules: 220
evict times: 440, mal rules: 209, norm rules: 231
evict times: 460, mal rules: 220, norm rules: 240
evict times: 480, mal rules: 228, norm rules: 252
evict times: 500, mal rules: 235, norm rules: 265
evict times: 520, mal rules: 245, norm rules: 275
evict times: 540, mal rules: 256, norm rules: 284
evict times: 560, mal rules: 263, norm rules: 297
evict times: 580, mal rules: 270, norm rules: 310
evict times: 600, mal rules: 279, norm rules: 321
evict times: 620, mal rules: 292, norm rules: 328
evict times: 640, mal rules: 304, norm rules: 336
evict times: 660, mal rules: 316, norm rules: 344
evict times: 680, mal rules: 324, norm rules: 356
evict times: 700, mal rules: 334, norm rules: 366
evict times: 720, mal rules: 343, norm rules: 377
evict times: 740, mal rules: 350, norm rules: 390
evict times: 760, mal rules: 363, norm rules: 397
evict times: 780, mal rules: 371, norm rules: 409
evict times: 800, mal rules: 385, norm rules: 415
evict times: 820, mal rules: 396, norm rules: 424
evict times: 840, mal rules: 403, norm rules: 437
evict times: 860, mal rules: 415, norm rules: 445
evict times: 880, mal rules: 424, norm rules: 456
evict times: 900, mal rules: 435, norm rules: 465
evict times: 920, mal rules: 447, norm rules: 473
evict times: 940, mal rules: 458, norm rules: 482
evict times: 960, mal rules: 467, norm rules: 493
evict times: 980, mal rules: 475, norm rules: 505
evict times: 1000, mal rules: 482, norm rules: 518
