evict times: 100, mal rules: 94, norm rules: 6
evict times: 120, mal rules: 113, norm rules: 7
evict times: 140, mal rules: 133, norm rules: 7
evict times: 160, mal rules: 152, norm rules: 8
evict times: 180, mal rules: 171, norm rules: 9
evict times: 200, mal rules: 189, norm rules: 11
evict times: 220, mal rules: 208, norm rules: 12
evict times: 240, mal rules: 227, norm rules: 13
evict times: 260, mal rules: 247, norm rules: 13
evict times: 280, mal rules: 266, norm rules: 14
evict times: 300, mal rules: 285, norm rules: 15
evict times: 320, mal rules: 304, norm rules: 16
evict times: 340, mal rules: 323, norm rules: 17
evict times: 360, mal rules: 342, norm rules: 18
evict times: 380, mal rules: 361, norm rules: 19
evict times: 400, mal rules: 380, norm rules: 20
evict times: 420, mal rules: 398, norm rules: 22
evict times: 440, mal rules: 417, norm rules: 23
evict times: 460, mal rules: 436, norm rules: 24
evict times: 480, mal rules: 455, norm rules: 25
evict times: 500, mal rules: 474, norm rules: 26
evict times: 520, mal rules: 492, norm rules: 28
evict times: 540, mal rules: 511, norm rules: 29
evict times: 560, mal rules: 530, norm rules: 30
evict times: 580, mal rules: 549, norm rules: 31
evict times: 600, mal rules: 568, norm rules: 32
evict times: 620, mal rules: 587, norm rules: 33
evict times: 640, mal rules: 606, norm rules: 34
evict times: 660, mal rules: 625, norm rules: 35
evict times: 680, mal rules: 644, norm rules: 36
evict times: 700, mal rules: 663, norm rules: 37
evict times: 720, mal rules: 682, norm rules: 38
evict times: 740, mal rules: 700, norm rules: 40
evict times: 760, mal rules: 719, norm rules: 41
evict times: 780, mal rules: 738, norm rules: 42
evict times: 800, mal rules: 757, norm rules: 43
evict times: 820, mal rules: 776, norm rules: 44
evict times: 840, mal rules: 795, norm rules: 45
evict times: 860, mal rules: 814, norm rules: 46
evict times: 880, mal rules: 833, norm rules: 47
evict times: 900, mal rules: 851, norm rules: 49
evict times: 920, mal rules: 870, norm rules: 50
evict times: 940, mal rules: 889, norm rules: 51
evict times: 960, mal rules: 908, norm rules: 52
evict times: 980, mal rules: 927, norm rules: 53
evict times: 1000, mal rules: 946, norm rules: 54
