evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 20, norm rules: 100
evict times: 140, mal rules: 40, norm rules: 100
evict times: 160, mal rules: 60, norm rules: 100
evict times: 180, mal rules: 80, norm rules: 100
evict times: 200, mal rules: 98, norm rules: 102
evict times: 220, mal rules: 100, norm rules: 120
evict times: 240, mal rules: 102, norm rules: 138
evict times: 260, mal rules: 105, norm rules: 155
evict times: 280, mal rules: 105, norm rules: 175
evict times: 300, mal rules: 111, norm rules: 189
evict times: 320, mal rules: 129, norm rules: 191
evict times: 340, mal rules: 145, norm rules: 195
evict times: 360, mal rules: 162, norm rules: 198
evict times: 380, mal rules: 180, norm rules: 200
evict times: 400, mal rules: 198, norm rules: 202
evict times: 420, mal rules: 202, norm rules: 218
evict times: 440, mal rules: 205, norm rules: 235
evict times: 460, mal rules: 212, norm rules: 248
evict times: 480, mal rules: 212, norm rules: 268
evict times: 500, mal rules: 220, norm rules: 280
evict times: 520, mal rules: 239, norm rules: 281
evict times: 540, mal rules: 255, norm rules: 285
evict times: 560, mal rules: 272, norm rules: 288
evict times: 580, mal rules: 281, norm rules: 299
evict times: 600, mal rules: 299, norm rules: 301
evict times: 620, mal rules: 307, norm rules: 313
evict times: 640, mal rules: 308, norm rules: 332
evict times: 660, mal rules: 318, norm rules: 342
evict times: 680, mal rules: 318, norm rules: 362
evict times: 700, mal rules: 324, norm rules: 376
evict times: 720, mal rules: 343, norm rules: 377
evict times: 740, mal rules: 359, norm rules: 381
evict times: 760, mal rules: 376, norm rules: 384
evict times: 780, mal rules: 386, norm rules: 394
evict times: 800, mal rules: 399, norm rules: 401
evict times: 820, mal rules: 410, norm rules: 410
evict times: 840, mal rules: 411, norm rules: 429
evict times: 860, mal rules: 422, norm rules: 438
evict times: 880, mal rules: 422, norm rules: 458
evict times: 900, mal rules: 425, norm rules: 475
evict times: 920, mal rules: 444, norm rules: 476
evict times: 940, mal rules: 463, norm rules: 477
evict times: 960, mal rules: 482, norm rules: 478
evict times: 980, mal rules: 491, norm rules: 489
evict times: 1000, mal rules: 500, norm rules: 500
