evict times: 100, mal rules: 100, norm rules: 0
evict times: 120, mal rules: 120, norm rules: 0
evict times: 140, mal rules: 140, norm rules: 0
evict times: 160, mal rules: 160, norm rules: 0
evict times: 180, mal rules: 180, norm rules: 0
evict times: 200, mal rules: 200, norm rules: 0
evict times: 220, mal rules: 220, norm rules: 0
evict times: 240, mal rules: 240, norm rules: 0
evict times: 260, mal rules: 260, norm rules: 0
evict times: 280, mal rules: 280, norm rules: 0
evict times: 300, mal rules: 300, norm rules: 0
evict times: 320, mal rules: 320, norm rules: 0
evict times: 340, mal rules: 340, norm rules: 0
evict times: 360, mal rules: 360, norm rules: 0
evict times: 380, mal rules: 380, norm rules: 0
evict times: 400, mal rules: 400, norm rules: 0
evict times: 420, mal rules: 420, norm rules: 0
evict times: 440, mal rules: 440, norm rules: 0
evict times: 460, mal rules: 460, norm rules: 0
evict times: 480, mal rules: 480, norm rules: 0
evict times: 500, mal rules: 500, norm rules: 0
evict times: 520, mal rules: 520, norm rules: 0
evict times: 540, mal rules: 540, norm rules: 0
evict times: 560, mal rules: 560, norm rules: 0
evict times: 580, mal rules: 580, norm rules: 0
evict times: 600, mal rules: 600, norm rules: 0
evict times: 620, mal rules: 620, norm rules: 0
evict times: 640, mal rules: 640, norm rules: 0
evict times: 660, mal rules: 660, norm rules: 0
evict times: 680, mal rules: 680, norm rules: 0
evict times: 700, mal rules: 700, norm rules: 0
evict times: 720, mal rules: 720, norm rules: 0
evict times: 740, mal rules: 740, norm rules: 0
evict times: 760, mal rules: 760, norm rules: 0
evict times: 780, mal rules: 780, norm rules: 0
evict times: 800, mal rules: 800, norm rules: 0
evict times: 820, mal rules: 820, norm rules: 0
evict times: 840, mal rules: 840, norm rules: 0
evict times: 860, mal rules: 860, norm rules: 0
evict times: 880, mal rules: 880, norm rules: 0
evict times: 900, mal rules: 900, norm rules: 0
evict times: 920, mal rules: 920, norm rules: 0
evict times: 940, mal rules: 940, norm rules: 0
evict times: 960, mal rules: 960, norm rules: 0
evict times: 980, mal rules: 980, norm rules: 0
