evict times: 100, mal rules: 56, norm rules: 44
evict times: 120, mal rules: 67, norm rules: 53
evict times: 140, mal rules: 76, norm rules: 64
evict times: 160, mal rules: 84, norm rules: 76
evict times: 180, mal rules: 91, norm rules: 89
evict times: 200, mal rules: 100, norm rules: 100
evict times: 220, mal rules: 110, norm rules: 110
evict times: 240, mal rules: 124, norm rules: 116
evict times: 260, mal rules: 133, norm rules: 127
evict times: 280, mal rules: 146, norm rules: 134
evict times: 300, mal rules: 158, norm rules: 142
evict times: 320, mal rules: 169, norm rules: 151
evict times: 340, mal rules: 176, norm rules: 164
evict times: 360, mal rules: 185, norm rules: 175
evict times: 380, mal rules: 197, norm rules: 183
evict times: 400, mal rules: 210, norm rules: 190
evict times: 420, mal rules: 218, norm rules: 202
evict times: 440, mal rules: 229, norm rules: 211
evict times: 460, mal rules: 236, norm rules: 224
evict times: 480, mal rules: 248, norm rules: 232
evict times: 500, mal rules: 254, norm rules: 246
evict times: 520, mal rules: 265, norm rules: 255
evict times: 540, mal rules: 274, norm rules: 266
evict times: 560, mal rules: 281, norm rules: 279
evict times: 580, mal rules: 293, norm rules: 287
evict times: 600, mal rules: 302, norm rules: 298
evict times: 620, mal rules: 313, norm rules: 307
evict times: 640, mal rules: 323, norm rules: 317
evict times: 660, mal rules: 334, norm rules: 326
evict times: 680, mal rules: 344, norm rules: 336
evict times: 700, mal rules: 351, norm rules: 349
evict times: 720, mal rules: 360, norm rules: 360
evict times: 740, mal rules: 370, norm rules: 370
evict times: 760, mal rules: 378, norm rules: 382
evict times: 780, mal rules: 388, norm rules: 392
evict times: 800, mal rules: 403, norm rules: 397
evict times: 820, mal rules: 415, norm rules: 405
evict times: 840, mal rules: 426, norm rules: 414
evict times: 860, mal rules: 438, norm rules: 422
evict times: 880, mal rules: 446, norm rules: 434
evict times: 900, mal rules: 454, norm rules: 446
evict times: 920, mal rules: 463, norm rules: 457
evict times: 940, mal rules: 471, norm rules: 469
evict times: 960, mal rules: 479, norm rules: 481
evict times: 980, mal rules: 487, norm rules: 493
evict times: 1000, mal rules: 500, norm rules: 500
