evict times: 100, mal rules: 93, norm rules: 7
evict times: 120, mal rules: 109, norm rules: 11
evict times: 140, mal rules: 125, norm rules: 15
evict times: 160, mal rules: 141, norm rules: 19
evict times: 180, mal rules: 156, norm rules: 24
evict times: 200, mal rules: 173, norm rules: 27
evict times: 220, mal rules: 188, norm rules: 32
evict times: 240, mal rules: 205, norm rules: 35
evict times: 260, mal rules: 223, norm rules: 37
evict times: 280, mal rules: 239, norm rules: 41
evict times: 300, mal rules: 254, norm rules: 46
evict times: 320, mal rules: 270, norm rules: 50
evict times: 340, mal rules: 288, norm rules: 52
evict times: 360, mal rules: 306, norm rules: 54
evict times: 380, mal rules: 321, norm rules: 59
evict times: 400, mal rules: 340, norm rules: 60
evict times: 420, mal rules: 355, norm rules: 65
evict times: 440, mal rules: 371, norm rules: 69
evict times: 460, mal rules: 390, norm rules: 70
evict times: 480, mal rules: 407, norm rules: 73
evict times: 500, mal rules: 423, norm rules: 77
evict times: 520, mal rules: 443, norm rules: 77
evict times: 540, mal rules: 457, norm rules: 83
evict times: 560, mal rules: 477, norm rules: 83
evict times: 580, mal rules: 492, norm rules: 88
evict times: 600, mal rules: 510, norm rules: 90
evict times: 620, mal rules: 526, norm rules: 94
evict times: 640, mal rules: 544, norm rules: 96
evict times: 660, mal rules: 561, norm rules: 99
evict times: 680, mal rules: 578, norm rules: 102
evict times: 700, mal rules: 595, norm rules: 105
evict times: 720, mal rules: 611, norm rules: 109
evict times: 740, mal rules: 627, norm rules: 113
evict times: 760, mal rules: 644, norm rules: 116
evict times: 780, mal rules: 661, norm rules: 119
evict times: 800, mal rules: 679, norm rules: 121
evict times: 820, mal rules: 695, norm rules: 125
evict times: 840, mal rules: 713, norm rules: 127
evict times: 860, mal rules: 730, norm rules: 130
evict times: 880, mal rules: 746, norm rules: 134
evict times: 900, mal rules: 763, norm rules: 137
evict times: 920, mal rules: 780, norm rules: 140
evict times: 940, mal rules: 797, norm rules: 143
evict times: 960, mal rules: 812, norm rules: 148
evict times: 980, mal rules: 831, norm rules: 149
evict times: 1000, mal rules: 845, norm rules: 155
