evict times: 100, mal rules: 77, norm rules: 23
evict times: 120, mal rules: 89, norm rules: 31
evict times: 140, mal rules: 106, norm rules: 34
evict times: 160, mal rules: 116, norm rules: 44
evict times: 180, mal rules: 131, norm rules: 49
evict times: 200, mal rules: 142, norm rules: 58
evict times: 220, mal rules: 158, norm rules: 62
evict times: 240, mal rules: 172, norm rules: 68
evict times: 260, mal rules: 189, norm rules: 71
evict times: 280, mal rules: 203, norm rules: 77
evict times: 300, mal rules: 216, norm rules: 84
evict times: 320, mal rules: 229, norm rules: 91
evict times: 340, mal rules: 245, norm rules: 95
evict times: 360, mal rules: 260, norm rules: 100
evict times: 380, mal rules: 275, norm rules: 105
evict times: 400, mal rules: 289, norm rules: 111
evict times: 420, mal rules: 307, norm rules: 113
evict times: 440, mal rules: 320, norm rules: 120
evict times: 460, mal rules: 336, norm rules: 124
evict times: 480, mal rules: 350, norm rules: 130
evict times: 500, mal rules: 364, norm rules: 136
evict times: 520, mal rules: 383, norm rules: 137
evict times: 540, mal rules: 399, norm rules: 141
evict times: 560, mal rules: 414, norm rules: 146
evict times: 580, mal rules: 428, norm rules: 152
evict times: 600, mal rules: 441, norm rules: 159
evict times: 620, mal rules: 455, norm rules: 165
evict times: 640, mal rules: 469, norm rules: 171
evict times: 660, mal rules: 486, norm rules: 174
evict times: 680, mal rules: 502, norm rules: 178
evict times: 700, mal rules: 515, norm rules: 185
evict times: 720, mal rules: 530, norm rules: 190
evict times: 740, mal rules: 547, norm rules: 193
evict times: 760, mal rules: 564, norm rules: 196
evict times: 780, mal rules: 575, norm rules: 205
evict times: 800, mal rules: 590, norm rules: 210
evict times: 820, mal rules: 608, norm rules: 212
evict times: 840, mal rules: 624, norm rules: 216
evict times: 860, mal rules: 636, norm rules: 224
evict times: 880, mal rules: 649, norm rules: 231
evict times: 900, mal rules: 664, norm rules: 236
evict times: 920, mal rules: 681, norm rules: 239
evict times: 940, mal rules: 696, norm rules: 244
evict times: 960, mal rules: 712, norm rules: 248
evict times: 980, mal rules: 728, norm rules: 252
evict times: 1000, mal rules: 738, norm rules: 262
