evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 20, norm rules: 100
evict times: 140, mal rules: 40, norm rules: 100
evict times: 160, mal rules: 60, norm rules: 100
evict times: 180, mal rules: 80, norm rules: 100
evict times: 200, mal rules: 99, norm rules: 101
evict times: 220, mal rules: 100, norm rules: 120
evict times: 240, mal rules: 100, norm rules: 140
evict times: 260, mal rules: 100, norm rules: 160
evict times: 280, mal rules: 101, norm rules: 179
evict times: 300, mal rules: 101, norm rules: 199
evict times: 320, mal rules: 113, norm rules: 207
evict times: 340, mal rules: 131, norm rules: 209
evict times: 360, mal rules: 151, norm rules: 209
evict times: 380, mal rules: 171, norm rules: 209
evict times: 400, mal rules: 190, norm rules: 210
evict times: 420, mal rules: 196, norm rules: 224
evict times: 440, mal rules: 196, norm rules: 244
evict times: 460, mal rules: 196, norm rules: 264
evict times: 480, mal rules: 197, norm rules: 283
evict times: 500, mal rules: 198, norm rules: 302
evict times: 520, mal rules: 210, norm rules: 310
evict times: 540, mal rules: 223, norm rules: 317
evict times: 560, mal rules: 243, norm rules: 317
evict times: 580, mal rules: 262, norm rules: 318
evict times: 600, mal rules: 281, norm rules: 319
evict times: 620, mal rules: 288, norm rules: 332
evict times: 640, mal rules: 289, norm rules: 351
evict times: 660, mal rules: 289, norm rules: 371
evict times: 680, mal rules: 289, norm rules: 391
evict times: 700, mal rules: 297, norm rules: 403
evict times: 720, mal rules: 302, norm rules: 418
evict times: 740, mal rules: 315, norm rules: 425
evict times: 760, mal rules: 334, norm rules: 426
evict times: 780, mal rules: 353, norm rules: 427
evict times: 800, mal rules: 373, norm rules: 427
evict times: 820, mal rules: 379, norm rules: 441
evict times: 840, mal rules: 384, norm rules: 456
evict times: 860, mal rules: 385, norm rules: 475
evict times: 880, mal rules: 385, norm rules: 495
evict times: 900, mal rules: 394, norm rules: 506
evict times: 920, mal rules: 397, norm rules: 523
evict times: 940, mal rules: 408, norm rules: 532
evict times: 960, mal rules: 427, norm rules: 533
evict times: 980, mal rules: 444, norm rules: 536
evict times: 1000, mal rules: 464, norm rules: 536
