evict times: 100, mal rules: 48, norm rules: 52
evict times: 120, mal rules: 62, norm rules: 58
evict times: 140, mal rules: 68, norm rules: 72
evict times: 160, mal rules: 75, norm rules: 85
evict times: 180, mal rules: 84, norm rules: 96
evict times: 200, mal rules: 92, norm rules: 108
evict times: 220, mal rules: 108, norm rules: 112
evict times: 240, mal rules: 115, norm rules: 125
evict times: 260, mal rules: 121, norm rules: 139
evict times: 280, mal rules: 128, norm rules: 152
evict times: 300, mal rules: 139, norm rules: 161
evict times: 320, mal rules: 149, norm rules: 171
evict times: 340, mal rules: 162, norm rules: 178
evict times: 360, mal rules: 171, norm rules: 189
evict times: 380, mal rules: 179, norm rules: 201
evict times: 400, mal rules: 190, norm rules: 210
evict times: 420, mal rules: 197, norm rules: 223
evict times: 440, mal rules: 208, norm rules: 232
evict times: 460, mal rules: 218, norm rules: 242
evict times: 480, mal rules: 227, norm rules: 253
evict times: 500, mal rules: 232, norm rules: 268
evict times: 520, mal rules: 240, norm rules: 280
evict times: 540, mal rules: 251, norm rules: 289
evict times: 560, mal rules: 263, norm rules: 297
evict times: 580, mal rules: 269, norm rules: 311
evict times: 600, mal rules: 278, norm rules: 322
evict times: 620, mal rules: 287, norm rules: 333
evict times: 640, mal rules: 298, norm rules: 342
evict times: 660, mal rules: 308, norm rules: 352
evict times: 680, mal rules: 318, norm rules: 362
evict times: 700, mal rules: 327, norm rules: 373
evict times: 720, mal rules: 338, norm rules: 382
evict times: 740, mal rules: 347, norm rules: 393
evict times: 760, mal rules: 356, norm rules: 404
evict times: 780, mal rules: 365, norm rules: 415
evict times: 800, mal rules: 375, norm rules: 425
evict times: 820, mal rules: 381, norm rules: 439
evict times: 840, mal rules: 393, norm rules: 447
evict times: 860, mal rules: 402, norm rules: 458
evict times: 880, mal rules: 407, norm rules: 473
evict times: 900, mal rules: 418, norm rules: 482
evict times: 920, mal rules: 426, norm rules: 494
evict times: 940, mal rules: 434, norm rules: 506
evict times: 960, mal rules: 443, norm rules: 517
evict times: 980, mal rules: 451, norm rules: 529
evict times: 1000, mal rules: 464, norm rules: 536
