evict times: 100, mal rules: 97, norm rules: 3
evict times: 120, mal rules: 115, norm rules: 5
evict times: 140, mal rules: 134, norm rules: 6
evict times: 160, mal rules: 153, norm rules: 7
evict times: 180, mal rules: 172, norm rules: 8
evict times: 200, mal rules: 191, norm rules: 9
evict times: 220, mal rules: 210, norm rules: 10
evict times: 240, mal rules: 229, norm rules: 11
evict times: 260, mal rules: 248, norm rules: 12
evict times: 280, mal rules: 268, norm rules: 12
evict times: 300, mal rules: 287, norm rules: 13
evict times: 320, mal rules: 306, norm rules: 14
evict times: 340, mal rules: 325, norm rules: 15
evict times: 360, mal rules: 344, norm rules: 16
evict times: 380, mal rules: 363, norm rules: 17
evict times: 400, mal rules: 382, norm rules: 18
evict times: 420, mal rules: 401, norm rules: 19
evict times: 440, mal rules: 420, norm rules: 20
evict times: 460, mal rules: 439, norm rules: 21
evict times: 480, mal rules: 457, norm rules: 23
evict times: 500, mal rules: 476, norm rules: 24
evict times: 520, mal rules: 495, norm rules: 25
evict times: 540, mal rules: 514, norm rules: 26
evict times: 560, mal rules: 533, norm rules: 27
evict times: 580, mal rules: 553, norm rules: 27
evict times: 600, mal rules: 572, norm rules: 28
evict times: 620, mal rules: 591, norm rules: 29
evict times: 640, mal rules: 609, norm rules: 31
evict times: 660, mal rules: 628, norm rules: 32
evict times: 680, mal rules: 647, norm rules: 33
evict times: 700, mal rules: 666, norm rules: 34
evict times: 720, mal rules: 685, norm rules: 35
evict times: 740, mal rules: 703, norm rules: 37
evict times: 760, mal rules: 722, norm rules: 38
evict times: 780, mal rules: 742, norm rules: 38
evict times: 800, mal rules: 761, norm rules: 39
evict times: 820, mal rules: 780, norm rules: 40
evict times: 840, mal rules: 799, norm rules: 41
evict times: 860, mal rules: 818, norm rules: 42
evict times: 880, mal rules: 838, norm rules: 42
evict times: 900, mal rules: 857, norm rules: 43
evict times: 920, mal rules: 876, norm rules: 44
evict times: 940, mal rules: 895, norm rules: 45
evict times: 960, mal rules: 914, norm rules: 46
evict times: 980, mal rules: 933, norm rules: 47
evict times: 1000, mal rules: 952, norm rules: 48
