evict times: 100, mal rules: 76, norm rules: 24
evict times: 120, mal rules: 94, norm rules: 26
evict times: 140, mal rules: 112, norm rules: 28
evict times: 160, mal rules: 129, norm rules: 31
evict times: 180, mal rules: 147, norm rules: 33
evict times: 200, mal rules: 158, norm rules: 42
evict times: 220, mal rules: 169, norm rules: 51
evict times: 240, mal rules: 188, norm rules: 52
evict times: 260, mal rules: 205, norm rules: 55
evict times: 280, mal rules: 218, norm rules: 62
evict times: 300, mal rules: 233, norm rules: 67
evict times: 320, mal rules: 248, norm rules: 72
evict times: 340, mal rules: 262, norm rules: 78
evict times: 360, mal rules: 276, norm rules: 84
evict times: 380, mal rules: 294, norm rules: 86
evict times: 400, mal rules: 307, norm rules: 93
evict times: 420, mal rules: 321, norm rules: 99
evict times: 440, mal rules: 335, norm rules: 105
evict times: 460, mal rules: 355, norm rules: 105
evict times: 480, mal rules: 370, norm rules: 110
evict times: 500, mal rules: 387, norm rules: 113
evict times: 520, mal rules: 403, norm rules: 117
evict times: 540, mal rules: 414, norm rules: 126
evict times: 560, mal rules: 434, norm rules: 126
evict times: 580, mal rules: 447, norm rules: 133
evict times: 600, mal rules: 462, norm rules: 138
evict times: 620, mal rules: 471, norm rules: 149
evict times: 640, mal rules: 486, norm rules: 154
evict times: 660, mal rules: 506, norm rules: 154
evict times: 680, mal rules: 519, norm rules: 161
evict times: 700, mal rules: 538, norm rules: 162
evict times: 720, mal rules: 550, norm rules: 170
evict times: 740, mal rules: 562, norm rules: 178
evict times: 760, mal rules: 577, norm rules: 183
evict times: 780, mal rules: 596, norm rules: 184
evict times: 800, mal rules: 612, norm rules: 188
evict times: 820, mal rules: 623, norm rules: 197
evict times: 840, mal rules: 637, norm rules: 203
evict times: 860, mal rules: 654, norm rules: 206
evict times: 880, mal rules: 674, norm rules: 206
evict times: 900, mal rules: 688, norm rules: 212
evict times: 920, mal rules: 696, norm rules: 224
evict times: 940, mal rules: 714, norm rules: 226
evict times: 960, mal rules: 726, norm rules: 234
evict times: 980, mal rules: 745, norm rules: 235
evict times: 1000, mal rules: 759, norm rules: 241
