evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 18, norm rules: 102
evict times: 140, mal rules: 38, norm rules: 102
evict times: 160, mal rules: 58, norm rules: 102
evict times: 180, mal rules: 78, norm rules: 102
evict times: 200, mal rules: 98, norm rules: 102
evict times: 220, mal rules: 110, norm rules: 110
evict times: 240, mal rules: 110, norm rules: 130
evict times: 260, mal rules: 110, norm rules: 150
evict times: 280, mal rules: 110, norm rules: 170
evict times: 300, mal rules: 110, norm rules: 190
evict times: 320, mal rules: 128, norm rules: 192
evict times: 340, mal rules: 146, norm rules: 194
evict times: 360, mal rules: 166, norm rules: 194
evict times: 380, mal rules: 186, norm rules: 194
evict times: 400, mal rules: 206, norm rules: 194
evict times: 420, mal rules: 220, norm rules: 200
evict times: 440, mal rules: 220, norm rules: 220
evict times: 460, mal rules: 220, norm rules: 240
evict times: 480, mal rules: 220, norm rules: 260
evict times: 500, mal rules: 220, norm rules: 280
evict times: 520, mal rules: 236, norm rules: 284
evict times: 540, mal rules: 253, norm rules: 287
evict times: 560, mal rules: 273, norm rules: 287
evict times: 580, mal rules: 293, norm rules: 287
evict times: 600, mal rules: 313, norm rules: 287
evict times: 620, mal rules: 327, norm rules: 293
evict times: 640, mal rules: 330, norm rules: 310
evict times: 660, mal rules: 330, norm rules: 330
evict times: 680, mal rules: 330, norm rules: 350
evict times: 700, mal rules: 330, norm rules: 370
evict times: 720, mal rules: 346, norm rules: 374
evict times: 740, mal rules: 363, norm rules: 377
evict times: 760, mal rules: 381, norm rules: 379
evict times: 780, mal rules: 401, norm rules: 379
evict times: 800, mal rules: 419, norm rules: 381
evict times: 820, mal rules: 436, norm rules: 384
evict times: 840, mal rules: 440, norm rules: 400
evict times: 860, mal rules: 440, norm rules: 420
evict times: 880, mal rules: 440, norm rules: 440
evict times: 900, mal rules: 440, norm rules: 460
evict times: 920, mal rules: 456, norm rules: 464
evict times: 940, mal rules: 472, norm rules: 468
evict times: 960, mal rules: 489, norm rules: 471
evict times: 980, mal rules: 508, norm rules: 472
evict times: 1000, mal rules: 528, norm rules: 472
