evict times: 100, mal rules: 40, norm rules: 60
evict times: 120, mal rules: 50, norm rules: 70
evict times: 140, mal rules: 60, norm rules: 80
evict times: 160, mal rules: 73, norm rules: 87
evict times: 180, mal rules: 83, norm rules: 97
evict times: 200, mal rules: 93, norm rules: 107
evict times: 220, mal rules: 102, norm rules: 118
evict times: 240, mal rules: 115, norm rules: 125
evict times: 260, mal rules: 123, norm rules: 137
evict times: 280, mal rules: 135, norm rules: 145
evict times: 300, mal rules: 145, norm rules: 155
evict times: 320, mal rules: 154, norm rules: 166
evict times: 340, mal rules: 166, norm rules: 174
evict times: 360, mal rules: 177, norm rules: 183
evict times: 380, mal rules: 189, norm rules: 191
evict times: 400, mal rules: 199, norm rules: 201
evict times: 420, mal rules: 212, norm rules: 208
evict times: 440, mal rules: 225, norm rules: 215
evict times: 460, mal rules: 233, norm rules: 227
evict times: 480, mal rules: 244, norm rules: 236
evict times: 500, mal rules: 256, norm rules: 244
evict times: 520, mal rules: 268, norm rules: 252
evict times: 540, mal rules: 280, norm rules: 260
evict times: 560, mal rules: 291, norm rules: 269
evict times: 580, mal rules: 304, norm rules: 276
evict times: 600, mal rules: 316, norm rules: 284
evict times: 620, mal rules: 326, norm rules: 294
evict times: 640, mal rules: 339, norm rules: 301
evict times: 660, mal rules: 352, norm rules: 308
evict times: 680, mal rules: 364, norm rules: 316
evict times: 700, mal rules: 377, norm rules: 323
evict times: 720, mal rules: 382, norm rules: 338
evict times: 740, mal rules: 395, norm rules: 345
evict times: 760, mal rules: 406, norm rules: 354
evict times: 780, mal rules: 415, norm rules: 365
evict times: 800, mal rules: 429, norm rules: 371
evict times: 820, mal rules: 436, norm rules: 384
evict times: 840, mal rules: 448, norm rules: 392
evict times: 860, mal rules: 462, norm rules: 398
evict times: 880, mal rules: 475, norm rules: 405
evict times: 900, mal rules: 484, norm rules: 416
evict times: 920, mal rules: 495, norm rules: 425
evict times: 940, mal rules: 505, norm rules: 435
evict times: 960, mal rules: 516, norm rules: 444
evict times: 980, mal rules: 528, norm rules: 452
evict times: 1000, mal rules: 538, norm rules: 462
