evict times: 100, mal rules: 42, norm rules: 58
evict times: 120, mal rules: 48, norm rules: 72
evict times: 140, mal rules: 59, norm rules: 81
evict times: 160, mal rules: 72, norm rules: 88
evict times: 180, mal rules: 82, norm rules: 98
evict times: 200, mal rules: 99, norm rules: 101
evict times: 220, mal rules: 109, norm rules: 111
evict times: 240, mal rules: 123, norm rules: 117
evict times: 260, mal rules: 142, norm rules: 118
evict times: 280, mal rules: 154, norm rules: 126
evict times: 300, mal rules: 165, norm rules: 135
evict times: 320, mal rules: 178, norm rules: 142
evict times: 340, mal rules: 190, norm rules: 150
evict times: 360, mal rules: 205, norm rules: 155
evict times: 380, mal rules: 214, norm rules: 166
evict times: 400, mal rules: 231, norm rules: 169
evict times: 420, mal rules: 245, norm rules: 175
evict times: 440, mal rules: 254, norm rules: 186
evict times: 460, mal rules: 267, norm rules: 193
evict times: 480, mal rules: 283, norm rules: 197
evict times: 500, mal rules: 291, norm rules: 209
evict times: 520, mal rules: 304, norm rules: 216
evict times: 540, mal rules: 320, norm rules: 220
evict times: 560, mal rules: 333, norm rules: 227
evict times: 580, mal rules: 348, norm rules: 232
evict times: 600, mal rules: 358, norm rules: 242
evict times: 620, mal rules: 368, norm rules: 252
evict times: 640, mal rules: 386, norm rules: 254
evict times: 660, mal rules: 398, norm rules: 262
evict times: 680, mal rules: 407, norm rules: 273
evict times: 700, mal rules: 423, norm rules: 277
evict times: 720, mal rules: 432, norm rules: 288
evict times: 740, mal rules: 450, norm rules: 290
evict times: 760, mal rules: 461, norm rules: 299
evict times: 780, mal rules: 478, norm rules: 302
evict times: 800, mal rules: 488, norm rules: 312
evict times: 820, mal rules: 498, norm rules: 322
evict times: 840, mal rules: 513, norm rules: 327
evict times: 860, mal rules: 531, norm rules: 329
evict times: 880, mal rules: 541, norm rules: 339
evict times: 900, mal rules: 556, norm rules: 344
evict times: 920, mal rules: 571, norm rules: 349
evict times: 940, mal rules: 581, norm rules: 359
evict times: 960, mal rules: 594, norm rules: 366
evict times: 980, mal rules: 608, norm rules: 372
evict times: 1000, mal rules: 617, norm rules: 383
