evict times: 100, mal rules: 47, norm rules: 53
evict times: 120, mal rules: 55, norm rules: 65
evict times: 140, mal rules: 66, norm rules: 74
evict times: 160, mal rules: 78, norm rules: 82
evict times: 180, mal rules: 90, norm rules: 90
evict times: 200, mal rules: 100, norm rules: 100
evict times: 220, mal rules: 112, norm rules: 108
evict times: 240, mal rules: 119, norm rules: 121
evict times: 260, mal rules: 131, norm rules: 129
evict times: 280, mal rules: 141, norm rules: 139
evict times: 300, mal rules: 150, norm rules: 150
evict times: 320, mal rules: 160, norm rules: 160
evict times: 340, mal rules: 170, norm rules: 170
evict times: 360, mal rules: 177, norm rules: 183
evict times: 380, mal rules: 185, norm rules: 195
evict times: 400, mal rules: 195, norm rules: 205
evict times: 420, mal rules: 206, norm rules: 214
evict times: 440, mal rules: 216, norm rules: 224
evict times: 460, mal rules: 223, norm rules: 237
evict times: 480, mal rules: 235, norm rules: 245
evict times: 500, mal rules: 244, norm rules: 256
evict times: 520, mal rules: 256, norm rules: 264
evict times: 540, mal rules: 265, norm rules: 275
evict times: 560, mal rules: 275, norm rules: 285
evict times: 580, mal rules: 283, norm rules: 297
evict times: 600, mal rules: 291, norm rules: 309
evict times: 620, mal rules: 304, norm rules: 316
evict times: 640, mal rules: 317, norm rules: 323
evict times: 660, mal rules: 324, norm rules: 336
evict times: 680, mal rules: 336, norm rules: 344
evict times: 700, mal rules: 347, norm rules: 353
evict times: 720, mal rules: 356, norm rules: 364
evict times: 740, mal rules: 364, norm rules: 376
evict times: 760, mal rules: 373, norm rules: 387
evict times: 780, mal rules: 380, norm rules: 400
evict times: 800, mal rules: 391, norm rules: 409
evict times: 820, mal rules: 400, norm rules: 420
evict times: 840, mal rules: 410, norm rules: 430
evict times: 860, mal rules: 420, norm rules: 440
evict times: 880, mal rules: 433, norm rules: 447
evict times: 900, mal rules: 444, norm rules: 456
evict times: 920, mal rules: 456, norm rules: 464
evict times: 940, mal rules: 463, norm rules: 477
evict times: 960, mal rules: 475, norm rules: 485
evict times: 980, mal rules: 485, norm rules: 495
evict times: 1000, mal rules: 497, norm rules: 503
