evict times: 100, mal rules: 96, norm rules: 4
evict times: 120, mal rules: 115, norm rules: 5
evict times: 140, mal rules: 134, norm rules: 6
evict times: 160, mal rules: 153, norm rules: 7
evict times: 180, mal rules: 172, norm rules: 8
evict times: 200, mal rules: 191, norm rules: 9
evict times: 220, mal rules: 210, norm rules: 10
evict times: 240, mal rules: 229, norm rules: 11
evict times: 260, mal rules: 248, norm rules: 12
evict times: 280, mal rules: 267, norm rules: 13
evict times: 300, mal rules: 287, norm rules: 13
evict times: 320, mal rules: 306, norm rules: 14
evict times: 340, mal rules: 325, norm rules: 15
evict times: 360, mal rules: 344, norm rules: 16
evict times: 380, mal rules: 363, norm rules: 17
evict times: 400, mal rules: 382, norm rules: 18
evict times: 420, mal rules: 401, norm rules: 19
evict times: 440, mal rules: 420, norm rules: 20
evict times: 460, mal rules: 439, norm rules: 21
evict times: 480, mal rules: 458, norm rules: 22
evict times: 500, mal rules: 477, norm rules: 23
evict times: 520, mal rules: 496, norm rules: 24
evict times: 540, mal rules: 515, norm rules: 25
evict times: 560, mal rules: 534, norm rules: 26
evict times: 580, mal rules: 553, norm rules: 27
evict times: 600, mal rules: 572, norm rules: 28
evict times: 620, mal rules: 591, norm rules: 29
evict times: 640, mal rules: 610, norm rules: 30
evict times: 660, mal rules: 629, norm rules: 31
evict times: 680, mal rules: 648, norm rules: 32
evict times: 700, mal rules: 667, norm rules: 33
evict times: 720, mal rules: 686, norm rules: 34
evict times: 740, mal rules: 705, norm rules: 35
evict times: 760, mal rules: 724, norm rules: 36
evict times: 780, mal rules: 744, norm rules: 36
evict times: 800, mal rules: 764, norm rules: 36
evict times: 820, mal rules: 783, norm rules: 37
evict times: 840, mal rules: 802, norm rules: 38
evict times: 860, mal rules: 821, norm rules: 39
evict times: 880, mal rules: 840, norm rules: 40
evict times: 900, mal rules: 859, norm rules: 41
evict times: 920, mal rules: 878, norm rules: 42
evict times: 940, mal rules: 897, norm rules: 43
evict times: 960, mal rules: 916, norm rules: 44
evict times: 980, mal rules: 935, norm rules: 45
evict times: 1000, mal rules: 954, norm rules: 46
