evict times: 100, mal rules: 42, norm rules: 58
evict times: 120, mal rules: 46, norm rules: 74
evict times: 140, mal rules: 55, norm rules: 85
evict times: 160, mal rules: 69, norm rules: 91
evict times: 180, mal rules: 83, norm rules: 97
evict times: 200, mal rules: 98, norm rules: 102
evict times: 220, mal rules: 109, norm rules: 111
evict times: 240, mal rules: 122, norm rules: 118
evict times: 260, mal rules: 132, norm rules: 128
evict times: 280, mal rules: 148, norm rules: 132
evict times: 300, mal rules: 158, norm rules: 142
evict times: 320, mal rules: 172, norm rules: 148
evict times: 340, mal rules: 181, norm rules: 159
evict times: 360, mal rules: 198, norm rules: 162
evict times: 380, mal rules: 206, norm rules: 174
evict times: 400, mal rules: 221, norm rules: 179
evict times: 420, mal rules: 233, norm rules: 187
evict times: 440, mal rules: 243, norm rules: 197
evict times: 460, mal rules: 262, norm rules: 198
evict times: 480, mal rules: 278, norm rules: 202
evict times: 500, mal rules: 290, norm rules: 210
evict times: 520, mal rules: 300, norm rules: 220
evict times: 540, mal rules: 311, norm rules: 229
evict times: 560, mal rules: 327, norm rules: 233
evict times: 580, mal rules: 341, norm rules: 239
evict times: 600, mal rules: 354, norm rules: 246
evict times: 620, mal rules: 365, norm rules: 255
evict times: 640, mal rules: 376, norm rules: 264
evict times: 660, mal rules: 393, norm rules: 267
evict times: 680, mal rules: 403, norm rules: 277
evict times: 700, mal rules: 418, norm rules: 282
evict times: 720, mal rules: 429, norm rules: 291
evict times: 740, mal rules: 442, norm rules: 298
evict times: 760, mal rules: 454, norm rules: 306
evict times: 780, mal rules: 467, norm rules: 313
evict times: 800, mal rules: 481, norm rules: 319
evict times: 820, mal rules: 495, norm rules: 325
evict times: 840, mal rules: 508, norm rules: 332
evict times: 860, mal rules: 520, norm rules: 340
evict times: 880, mal rules: 534, norm rules: 346
evict times: 900, mal rules: 545, norm rules: 355
evict times: 920, mal rules: 559, norm rules: 361
evict times: 940, mal rules: 571, norm rules: 369
evict times: 960, mal rules: 584, norm rules: 376
evict times: 980, mal rules: 594, norm rules: 386
evict times: 1000, mal rules: 606, norm rules: 394
