evict times: 100, mal rules: 93, norm rules: 7
evict times: 120, mal rules: 111, norm rules: 9
evict times: 140, mal rules: 129, norm rules: 11
evict times: 160, mal rules: 148, norm rules: 12
evict times: 180, mal rules: 166, norm rules: 14
evict times: 200, mal rules: 184, norm rules: 16
evict times: 220, mal rules: 200, norm rules: 20
evict times: 240, mal rules: 218, norm rules: 22
evict times: 260, mal rules: 238, norm rules: 22
evict times: 280, mal rules: 255, norm rules: 25
evict times: 300, mal rules: 273, norm rules: 27
evict times: 320, mal rules: 291, norm rules: 29
evict times: 340, mal rules: 309, norm rules: 31
evict times: 360, mal rules: 327, norm rules: 33
evict times: 380, mal rules: 344, norm rules: 36
evict times: 400, mal rules: 361, norm rules: 39
evict times: 420, mal rules: 379, norm rules: 41
evict times: 440, mal rules: 399, norm rules: 41
evict times: 460, mal rules: 415, norm rules: 45
evict times: 480, mal rules: 434, norm rules: 46
evict times: 500, mal rules: 453, norm rules: 47
evict times: 520, mal rules: 471, norm rules: 49
evict times: 540, mal rules: 489, norm rules: 51
evict times: 560, mal rules: 506, norm rules: 54
evict times: 580, mal rules: 526, norm rules: 54
evict times: 600, mal rules: 544, norm rules: 56
evict times: 620, mal rules: 560, norm rules: 60
evict times: 640, mal rules: 578, norm rules: 62
evict times: 660, mal rules: 597, norm rules: 63
evict times: 680, mal rules: 613, norm rules: 67
evict times: 700, mal rules: 629, norm rules: 71
evict times: 720, mal rules: 645, norm rules: 75
evict times: 740, mal rules: 663, norm rules: 77
evict times: 760, mal rules: 679, norm rules: 81
evict times: 780, mal rules: 698, norm rules: 82
evict times: 800, mal rules: 715, norm rules: 85
evict times: 820, mal rules: 734, norm rules: 86
evict times: 840, mal rules: 751, norm rules: 89
evict times: 860, mal rules: 769, norm rules: 91
evict times: 880, mal rules: 788, norm rules: 92
evict times: 900, mal rules: 804, norm rules: 96
evict times: 920, mal rules: 824, norm rules: 96
evict times: 940, mal rules: 840, norm rules: 100
evict times: 960, mal rules: 858, norm rules: 102
evict times: 980, mal rules: 876, norm rules: 104
evict times: 1000, mal rules: 894, norm rules: 106
