evict times: 100, mal rules: 29, norm rules: 71
evict times: 120, mal rules: 42, norm rules: 78
evict times: 140, mal rules: 49, norm rules: 91
evict times: 160, mal rules: 56, norm rules: 104
evict times: 180, mal rules: 68, norm rules: 112
evict times: 200, mal rules: 81, norm rules: 119
evict times: 220, mal rules: 95, norm rules: 125
evict times: 240, mal rules: 106, norm rules: 134
evict times: 260, mal rules: 121, norm rules: 139
evict times: 280, mal rules: 131, norm rules: 149
evict times: 300, mal rules: 147, norm rules: 153
evict times: 320, mal rules: 158, norm rules: 162
evict times: 340, mal rules: 172, norm rules: 168
evict times: 360, mal rules: 185, norm rules: 175
evict times: 380, mal rules: 199, norm rules: 181
evict times: 400, mal rules: 214, norm rules: 186
evict times: 420, mal rules: 224, norm rules: 196
evict times: 440, mal rules: 243, norm rules: 197
evict times: 460, mal rules: 255, norm rules: 205
evict times: 480, mal rules: 267, norm rules: 213
evict times: 500, mal rules: 279, norm rules: 221
evict times: 520, mal rules: 292, norm rules: 228
evict times: 540, mal rules: 306, norm rules: 234
evict times: 560, mal rules: 319, norm rules: 241
evict times: 580, mal rules: 333, norm rules: 247
evict times: 600, mal rules: 346, norm rules: 254
evict times: 620, mal rules: 359, norm rules: 261
evict times: 640, mal rules: 369, norm rules: 271
evict times: 660, mal rules: 381, norm rules: 279
evict times: 680, mal rules: 397, norm rules: 283
evict times: 700, mal rules: 411, norm rules: 289
evict times: 720, mal rules: 422, norm rules: 298
evict times: 740, mal rules: 439, norm rules: 301
evict times: 760, mal rules: 448, norm rules: 312
evict times: 780, mal rules: 464, norm rules: 316
evict times: 800, mal rules: 476, norm rules: 324
evict times: 820, mal rules: 492, norm rules: 328
evict times: 840, mal rules: 503, norm rules: 337
evict times: 860, mal rules: 518, norm rules: 342
evict times: 880, mal rules: 533, norm rules: 347
evict times: 900, mal rules: 542, norm rules: 358
evict times: 920, mal rules: 553, norm rules: 367
evict times: 940, mal rules: 569, norm rules: 371
evict times: 960, mal rules: 582, norm rules: 378
evict times: 980, mal rules: 595, norm rules: 385
evict times: 1000, mal rules: 610, norm rules: 390
