evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 18, norm rules: 102
evict times: 140, mal rules: 38, norm rules: 102
evict times: 160, mal rules: 58, norm rules: 102
evict times: 180, mal rules: 78, norm rules: 102
evict times: 200, mal rules: 98, norm rules: 102
evict times: 220, mal rules: 99, norm rules: 121
evict times: 240, mal rules: 107, norm rules: 133
evict times: 260, mal rules: 110, norm rules: 150
evict times: 280, mal rules: 110, norm rules: 170
evict times: 300, mal rules: 110, norm rules: 190
evict times: 320, mal rules: 127, norm rules: 193
evict times: 340, mal rules: 146, norm rules: 194
evict times: 360, mal rules: 164, norm rules: 196
evict times: 380, mal rules: 179, norm rules: 201
evict times: 400, mal rules: 197, norm rules: 203
evict times: 420, mal rules: 202, norm rules: 218
evict times: 440, mal rules: 212, norm rules: 228
evict times: 460, mal rules: 220, norm rules: 240
evict times: 480, mal rules: 220, norm rules: 260
evict times: 500, mal rules: 223, norm rules: 277
evict times: 520, mal rules: 237, norm rules: 283
evict times: 540, mal rules: 257, norm rules: 283
evict times: 560, mal rules: 271, norm rules: 289
evict times: 580, mal rules: 285, norm rules: 295
evict times: 600, mal rules: 300, norm rules: 300
evict times: 620, mal rules: 304, norm rules: 316
evict times: 640, mal rules: 316, norm rules: 324
evict times: 660, mal rules: 326, norm rules: 334
evict times: 680, mal rules: 330, norm rules: 350
evict times: 700, mal rules: 334, norm rules: 366
evict times: 720, mal rules: 346, norm rules: 374
evict times: 740, mal rules: 363, norm rules: 377
evict times: 760, mal rules: 381, norm rules: 379
evict times: 780, mal rules: 395, norm rules: 385
evict times: 800, mal rules: 406, norm rules: 394
evict times: 820, mal rules: 410, norm rules: 410
evict times: 840, mal rules: 422, norm rules: 418
evict times: 860, mal rules: 432, norm rules: 428
evict times: 880, mal rules: 437, norm rules: 443
evict times: 900, mal rules: 443, norm rules: 457
evict times: 920, mal rules: 455, norm rules: 465
evict times: 940, mal rules: 471, norm rules: 469
evict times: 960, mal rules: 491, norm rules: 469
evict times: 980, mal rules: 501, norm rules: 479
evict times: 1000, mal rules: 511, norm rules: 489
