evict times: 100, mal rules: 52, norm rules: 48
evict times: 120, mal rules: 62, norm rules: 58
evict times: 140, mal rules: 78, norm rules: 62
evict times: 160, mal rules: 87, norm rules: 73
evict times: 180, mal rules: 96, norm rules: 84
evict times: 200, mal rules: 105, norm rules: 95
evict times: 220, mal rules: 115, norm rules: 105
evict times: 240, mal rules: 123, norm rules: 117
evict times: 260, mal rules: 132, norm rules: 128
evict times: 280, mal rules: 143, norm rules: 137
evict times: 300, mal rules: 154, norm rules: 146
evict times: 320, mal rules: 167, norm rules: 153
evict times: 340, mal rules: 174, norm rules: 166
evict times: 360, mal rules: 186, norm rules: 174
evict times: 380, mal rules: 193, norm rules: 187
evict times: 400, mal rules: 204, norm rules: 196
evict times: 420, mal rules: 211, norm rules: 209
evict times: 440, mal rules: 222, norm rules: 218
evict times: 460, mal rules: 236, norm rules: 224
evict times: 480, mal rules: 246, norm rules: 234
evict times: 500, mal rules: 254, norm rules: 246
evict times: 520, mal rules: 261, norm rules: 259
evict times: 540, mal rules: 272, norm rules: 268
evict times: 560, mal rules: 278, norm rules: 282
evict times: 580, mal rules: 290, norm rules: 290
evict times: 600, mal rules: 298, norm rules: 302
evict times: 620, mal rules: 308, norm rules: 312
evict times: 640, mal rules: 319, norm rules: 321
evict times: 660, mal rules: 330, norm rules: 330
evict times: 680, mal rules: 340, norm rules: 340
evict times: 700, mal rules: 350, norm rules: 350
evict times: 720, mal rules: 363, norm rules: 357
evict times: 740, mal rules: 368, norm rules: 372
evict times: 760, mal rules: 379, norm rules: 381
evict times: 780, mal rules: 394, norm rules: 386
evict times: 800, mal rules: 403, norm rules: 397
evict times: 820, mal rules: 415, norm rules: 405
evict times: 840, mal rules: 430, norm rules: 410
evict times: 860, mal rules: 441, norm rules: 419
evict times: 880, mal rules: 454, norm rules: 426
evict times: 900, mal rules: 463, norm rules: 437
evict times: 920, mal rules: 477, norm rules: 443
evict times: 940, mal rules: 492, norm rules: 448
evict times: 960, mal rules: 503, norm rules: 457
evict times: 980, mal rules: 514, norm rules: 466
evict times: 1000, mal rules: 524, norm rules: 476
