evict times: 100, mal rules: 0, norm rules: 100
evict times: 120, mal rules: 18, norm rules: 102
evict times: 140, mal rules: 38, norm rules: 102
evict times: 160, mal rules: 58, norm rules: 102
evict times: 180, mal rules: 78, norm rules: 102
evict times: 200, mal rules: 97, norm rules: 103
evict times: 220, mal rules: 98, norm rules: 122
evict times: 240, mal rules: 98, norm rules: 142
evict times: 260, mal rules: 101, norm rules: 159
evict times: 280, mal rules: 101, norm rules: 179
evict times: 300, mal rules: 102, norm rules: 198
evict times: 320, mal rules: 115, norm rules: 205
evict times: 340, mal rules: 130, norm rules: 210
evict times: 360, mal rules: 148, norm rules: 212
evict times: 380, mal rules: 167, norm rules: 213
evict times: 400, mal rules: 185, norm rules: 215
evict times: 420, mal rules: 190, norm rules: 230
evict times: 440, mal rules: 194, norm rules: 246
evict times: 460, mal rules: 200, norm rules: 260
evict times: 480, mal rules: 202, norm rules: 278
evict times: 500, mal rules: 203, norm rules: 297
evict times: 520, mal rules: 212, norm rules: 308
evict times: 540, mal rules: 226, norm rules: 314
evict times: 560, mal rules: 243, norm rules: 317
evict times: 580, mal rules: 260, norm rules: 320
evict times: 600, mal rules: 277, norm rules: 323
evict times: 620, mal rules: 285, norm rules: 335
evict times: 640, mal rules: 294, norm rules: 346
evict times: 660, mal rules: 297, norm rules: 363
evict times: 680, mal rules: 302, norm rules: 378
evict times: 700, mal rules: 304, norm rules: 396
evict times: 720, mal rules: 313, norm rules: 407
evict times: 740, mal rules: 323, norm rules: 417
evict times: 760, mal rules: 333, norm rules: 427
evict times: 780, mal rules: 352, norm rules: 428
evict times: 800, mal rules: 371, norm rules: 429
evict times: 820, mal rules: 384, norm rules: 436
evict times: 840, mal rules: 390, norm rules: 450
evict times: 860, mal rules: 396, norm rules: 464
evict times: 880, mal rules: 402, norm rules: 478
evict times: 900, mal rules: 405, norm rules: 495
evict times: 920, mal rules: 408, norm rules: 512
evict times: 940, mal rules: 412, norm rules: 528
evict times: 960, mal rules: 428, norm rules: 532
evict times: 980, mal rules: 444, norm rules: 536
evict times: 1000, mal rules: 462, norm rules: 538
