evict times: 100, mal rules: 40, norm rules: 60
evict times: 120, mal rules: 53, norm rules: 67
evict times: 140, mal rules: 60, norm rules: 80
evict times: 160, mal rules: 66, norm rules: 94
evict times: 180, mal rules: 75, norm rules: 105
evict times: 200, mal rules: 83, norm rules: 117
evict times: 220, mal rules: 94, norm rules: 126
evict times: 240, mal rules: 105, norm rules: 135
evict times: 260, mal rules: 117, norm rules: 143
evict times: 280, mal rules: 132, norm rules: 148
evict times: 300, mal rules: 142, norm rules: 158
evict times: 320, mal rules: 150, norm rules: 170
evict times: 340, mal rules: 163, norm rules: 177
evict times: 360, mal rules: 173, norm rules: 187
evict times: 380, mal rules: 185, norm rules: 195
evict times: 400, mal rules: 195, norm rules: 205
evict times: 420, mal rules: 207, norm rules: 213
evict times: 440, mal rules: 217, norm rules: 223
evict times: 460, mal rules: 229, norm rules: 231
evict times: 480, mal rules: 242, norm rules: 238
evict times: 500, mal rules: 253, norm rules: 247
evict times: 520, mal rules: 261, norm rules: 259
evict times: 540, mal rules: 273, norm rules: 267
evict times: 560, mal rules: 279, norm rules: 281
evict times: 580, mal rules: 289, norm rules: 291
evict times: 600, mal rules: 298, norm rules: 302
evict times: 620, mal rules: 315, norm rules: 305
evict times: 640, mal rules: 323, norm rules: 317
evict times: 660, mal rules: 332, norm rules: 328
evict times: 680, mal rules: 341, norm rules: 339
evict times: 700, mal rules: 349, norm rules: 351
evict times: 720, mal rules: 360, norm rules: 360
evict times: 740, mal rules: 369, norm rules: 371
evict times: 760, mal rules: 382, norm rules: 378
evict times: 780, mal rules: 391, norm rules: 389
evict times: 800, mal rules: 401, norm rules: 399
evict times: 820, mal rules: 412, norm rules: 408
evict times: 840, mal rules: 423, norm rules: 417
evict times: 860, mal rules: 429, norm rules: 431
evict times: 880, mal rules: 435, norm rules: 445
evict times: 900, mal rules: 445, norm rules: 455
evict times: 920, mal rules: 454, norm rules: 466
evict times: 940, mal rules: 459, norm rules: 481
evict times: 960, mal rules: 469, norm rules: 491
evict times: 980, mal rules: 477, norm rules: 503
evict times: 1000, mal rules: 486, norm rules: 514
