evict times: 100, mal rules: 44, norm rules: 56
evict times: 120, mal rules: 49, norm rules: 71
evict times: 140, mal rules: 58, norm rules: 82
evict times: 160, mal rules: 75, norm rules: 85
evict times: 180, mal rules: 87, norm rules: 93
evict times: 200, mal rules: 99, norm rules: 101
evict times: 220, mal rules: 111, norm rules: 109
evict times: 240, mal rules: 125, norm rules: 115
evict times: 260, mal rules: 137, norm rules: 123
evict times: 280, mal rules: 148, norm rules: 132
evict times: 300, mal rules: 164, norm rules: 136
evict times: 320, mal rules: 174, norm rules: 146
evict times: 340, mal rules: 184, norm rules: 156
evict times: 360, mal rules: 194, norm rules: 166
evict times: 380, mal rules: 214, norm rules: 166
evict times: 400, mal rules: 225, norm rules: 175
evict times: 420, mal rules: 236, norm rules: 184
evict times: 440, mal rules: 252, norm rules: 188
evict times: 460, mal rules: 265, norm rules: 195
evict times: 480, mal rules: 282, norm rules: 198
evict times: 500, mal rules: 294, norm rules: 206
evict times: 520, mal rules: 305, norm rules: 215
evict times: 540, mal rules: 318, norm rules: 222
evict times: 560, mal rules: 328, norm rules: 232
evict times: 580, mal rules: 347, norm rules: 233
evict times: 600, mal rules: 357, norm rules: 243
evict times: 620, mal rules: 374, norm rules: 246
evict times: 640, mal rules: 387, norm rules: 253
evict times: 660, mal rules: 399, norm rules: 261
evict times: 680, mal rules: 409, norm rules: 271
evict times: 700, mal rules: 424, norm rules: 276
evict times: 720, mal rules: 436, norm rules: 284
evict times: 740, mal rules: 446, norm rules: 294
evict times: 760, mal rules: 461, norm rules: 299
evict times: 780, mal rules: 475, norm rules: 305
evict times: 800, mal rules: 490, norm rules: 310
evict times: 820, mal rules: 498, norm rules: 322
evict times: 840, mal rules: 515, norm rules: 325
evict times: 860, mal rules: 524, norm rules: 336
evict times: 880, mal rules: 539, norm rules: 341
evict times: 900, mal rules: 548, norm rules: 352
evict times: 920, mal rules: 558, norm rules: 362
evict times: 940, mal rules: 570, norm rules: 370
evict times: 960, mal rules: 587, norm rules: 373
evict times: 980, mal rules: 605, norm rules: 375
evict times: 1000, mal rules: 615, norm rules: 385
