evict times: 100, mal rules: 73, norm rules: 27
evict times: 120, mal rules: 87, norm rules: 33
evict times: 140, mal rules: 100, norm rules: 40
evict times: 160, mal rules: 119, norm rules: 41
evict times: 180, mal rules: 131, norm rules: 49
evict times: 200, mal rules: 151, norm rules: 49
evict times: 220, mal rules: 164, norm rules: 56
evict times: 240, mal rules: 180, norm rules: 60
evict times: 260, mal rules: 198, norm rules: 62
evict times: 280, mal rules: 210, norm rules: 70
evict times: 300, mal rules: 230, norm rules: 70
evict times: 320, mal rules: 242, norm rules: 78
evict times: 340, mal rules: 257, norm rules: 83
evict times: 360, mal rules: 274, norm rules: 86
evict times: 380, mal rules: 285, norm rules: 95
evict times: 400, mal rules: 301, norm rules: 99
evict times: 420, mal rules: 317, norm rules: 103
evict times: 440, mal rules: 329, norm rules: 111
evict times: 460, mal rules: 343, norm rules: 117
evict times: 480, mal rules: 357, norm rules: 123
evict times: 500, mal rules: 371, norm rules: 129
evict times: 520, mal rules: 386, norm rules: 134
evict times: 540, mal rules: 402, norm rules: 138
evict times: 560, mal rules: 414, norm rules: 146
evict times: 580, mal rules: 427, norm rules: 153
evict times: 600, mal rules: 442, norm rules: 158
evict times: 620, mal rules: 456, norm rules: 164
evict times: 640, mal rules: 467, norm rules: 173
evict times: 660, mal rules: 481, norm rules: 179
evict times: 680, mal rules: 496, norm rules: 184
evict times: 700, mal rules: 510, norm rules: 190
evict times: 720, mal rules: 525, norm rules: 195
evict times: 740, mal rules: 539, norm rules: 201
evict times: 760, mal rules: 551, norm rules: 209
evict times: 780, mal rules: 566, norm rules: 214
evict times: 800, mal rules: 581, norm rules: 219
evict times: 820, mal rules: 593, norm rules: 227
evict times: 840, mal rules: 606, norm rules: 234
evict times: 860, mal rules: 621, norm rules: 239
evict times: 880, mal rules: 632, norm rules: 248
evict times: 900, mal rules: 645, norm rules: 255
evict times: 920, mal rules: 661, norm rules: 259
evict times: 940, mal rules: 675, norm rules: 265
evict times: 960, mal rules: 688, norm rules: 272
evict times: 980, mal rules: 702, norm rules: 278
evict times: 1000, mal rules: 713, norm rules: 287
