None        LR-NPOA	    POA_1	    POA_0.1	    POA_0.01	HR-NPOA_200	HR-NPOA_400	HR-NPOA_800	HR-NPOA_1200
3.099436	3.816754	3.897502	10.281931	25.928462	8.333257	9.341903	9.186538	21.367321
3.804145	3.595746	3.975983	14.596381	55.833522	4.570429	4.750994	17.59312	40.629122
3.250636	4.119566	4.108402	18.453899	20.727916	9.05121	    6.604715	6.9808	    21.95479
3.753831	5.145128	3.959357	15.499118	82.372066	10.7442	    7.880719	27.02943	20.192678
3.157697	4.135342	3.929933	28.804727	68.844506	5.732112	4.58399	    16.65109	33.181403
3.271208	3.814009	4.166102	13.680029	54.28286	8.569435	12.09145	11.86144	53.989853
3.680044	4.510887	4.056609	14.787181	77.63214	6.95025	    14.6729	    9.481076	101.11794
3.380909	4.598791	3.748429	22.605257	12.596637	4.468196	3.306464	11.69445	32.729432
3.106824	4.300611	4.392842	25.628794	63.566046	4.227068	8.578301	14.10643	55.9704
3.919508	4.319177	3.966978	22.697907	38.753016	3.842623	11.29604	6.740671	99.863188
