POA_1	    POA_1/0.1	POA_1/0.01	POA_1/0.1/0.01	POA_0.1	POA_0.1/0.01	POA_0.01
3.897502	4.128689	3.738969	5.348689	10.281931	12.923544	25.928462
3.975983	4.19149	    6.552843	6.056515	14.596381	16.55012	55.833522
4.108402	3.978705	5.584152	5.09084	    18.453899	35.250787	20.727916
3.959357	5.313161	3.905249	6.377001	15.499118	24.360747	82.372066
3.929933	4.904785	7.528817	7.834358	28.804727	24.116916	68.844506
4.166102	5.41443	    6.077218	8.325098	13.680029	30.504924	54.28286
4.056609	6.360981	5.033696	6.263179	14.787181	25.321505	77.63214
3.748429	5.059189	3.983593	7.504253	22.605257	18.796503	12.596637
4.392842	6.090039	8.004533	10.78142	25.628794	27.672795	63.566046
3.966978	4.107987	8.792168	8.742809	22.697907	34.107603	38.753016
